wavelength_m,real_index,imaginary_index
1.10687E-06,1.995595934,0
1.11025E-06,1.995535934,0
1.11364E-06,1.995475934,0
1.11702E-06,1.995415934,0
1.1204E-06,1.995365934,0
1.12379E-06,1.995305934,0
1.12717E-06,1.995245934,0
1.13056E-06,1.995185934,0
1.13394E-06,1.995135934,0
1.13733E-06,1.995075934,0
1.14072E-06,1.995025934,0
1.14411E-06,1.994965934,0
1.14749E-06,1.994915934,0
1.15088E-06,1.994855934,0
1.15427E-06,1.994805934,0
1.15766E-06,1.994755934,0
1.16105E-06,1.994695934,0
1.16444E-06,1.994645934,0
1.16784E-06,1.994595934,0
1.17123E-06,1.994545934,0
1.17462E-06,1.994495934,0
1.17802E-06,1.994445934,0
1.18141E-06,1.994395934,0
1.1848E-06,1.994345934,0
1.1882E-06,1.994295934,0
1.19159E-06,1.994245934,0
1.19499E-06,1.994195934,0
1.19839E-06,1.994155934,0
1.20179E-06,1.994105934,0
1.20518E-06,1.994055934,0
1.20858E-06,1.994005934,0
1.21198E-06,1.993965934,0
1.21538E-06,1.993915934,0
1.21878E-06,1.993875934,0
1.22218E-06,1.993825934,0
1.22558E-06,1.993785934,0
1.22898E-06,1.993735934,0
1.23239E-06,1.993695934,0
1.23579E-06,1.993655934,0
1.23919E-06,1.993605934,0
1.2426E-06,1.993565934,0
0.000001246,1.993525934,0
1.24941E-06,1.993485934,0
1.25281E-06,1.993435934,0
1.25622E-06,1.993395934,0
1.25963E-06,1.993355934,0
1.26304E-06,1.993315934,0
1.26644E-06,1.993275934,0
1.26985E-06,1.993235934,0
1.27326E-06,1.993195934,0
1.27667E-06,1.993155934,0
1.28008E-06,1.993115934,0
1.28349E-06,1.993075934,0
1.2869E-06,1.993045934,0
1.29032E-06,1.993005934,0
1.29373E-06,1.992965934,0
1.29714E-06,1.992925934,0
1.30056E-06,1.992885934,0
1.30397E-06,1.992855934,0
1.30739E-06,1.992815934,0
1.3108E-06,1.992775934,0
1.31422E-06,1.992745934,0
1.31763E-06,1.992705934,0
1.32105E-06,1.992675934,0
1.32447E-06,1.992635934,0
1.32789E-06,1.992605934,0
1.33131E-06,1.992565934,0
1.33472E-06,1.992535934,0
1.33815E-06,1.992495934,0
1.34157E-06,1.992465934,0
1.34499E-06,1.992425934,0
1.34841E-06,1.992395934,0
1.35183E-06,1.992365934,0
1.35525E-06,1.992335934,0
1.35868E-06,1.992295934,0
1.3621E-06,1.992265934,0
1.36553E-06,1.992235934,0
1.36895E-06,1.992205934,0
1.37238E-06,1.992165934,0
1.3758E-06,1.992135934,0
1.37923E-06,1.992105934,0
1.38266E-06,1.992075934,0
1.38608E-06,1.992045934,0
1.38951E-06,1.992015934,0
1.39294E-06,1.991985934,0
1.39637E-06,1.991955934,0
1.3998E-06,1.991925934,0
1.40323E-06,1.991895934,0
1.40666E-06,1.991865934,0
1.4101E-06,1.991835934,0
1.41353E-06,1.991805934,0
1.41696E-06,1.991775934,0
1.42039E-06,1.991745934,0
1.42383E-06,1.991715934,0
1.42726E-06,1.991695934,0
1.4307E-06,1.991665934,0
1.43413E-06,1.991635934,0
1.43757E-06,1.991605934,0
1.44101E-06,1.991585934,0
1.44444E-06,1.991555934,0
1.44788E-06,1.991525934,0
1.45132E-06,1.991495934,0
1.45476E-06,1.991475934,0
1.4582E-06,1.991445934,0
1.46164E-06,1.991415934,0
1.46508E-06,1.991395934,0
1.46852E-06,1.991365934,0
1.47197E-06,1.991345934,0
1.47541E-06,1.991315934,0
1.47885E-06,1.991295934,0
1.48229E-06,1.991265934,0
1.48574E-06,1.991245934,0
1.48918E-06,1.991215934,0
1.49263E-06,1.991195934,0
1.49607E-06,1.991165934,0
1.49952E-06,1.991145934,0
1.50297E-06,1.991115934,0
1.50642E-06,1.991095934,0
1.50986E-06,1.991065934,0
1.51331E-06,1.991045934,0
1.51676E-06,1.991025934,0
1.52021E-06,1.990995934,0
1.52366E-06,1.990975934,0
1.52711E-06,1.990955934,0
1.53057E-06,1.990925934,0
1.53402E-06,1.990905934,0
1.53747E-06,1.990885934,0
1.54092E-06,1.990865934,0
1.54438E-06,1.990835934,0
1.54783E-06,1.990815934,0
1.55129E-06,1.990795934,0
1.55474E-06,1.990775934,0
1.5582E-06,1.990755934,0
1.56166E-06,1.990735934,0
1.56511E-06,1.990705934,0
1.56857E-06,1.990685934,0
1.57203E-06,1.990665934,0
1.57549E-06,1.990645934,0
1.57895E-06,1.990625934,0
1.58241E-06,1.990605934,0
1.58587E-06,1.990585934,0
1.58933E-06,1.990565934,0
1.59279E-06,1.990545934,0
1.59625E-06,1.990525934,0
1.59972E-06,1.990505934,0
1.60318E-06,1.990485934,0
1.60664E-06,1.990465934,0
1.61011E-06,1.990445934,0
1.61357E-06,1.990425934,0
1.61704E-06,1.990405934,0
1.62051E-06,1.990385934,0
1.62397E-06,1.990365934,0
1.62744E-06,1.990345934,0
1.63091E-06,1.990325934,0
1.63438E-06,1.990305934,0
1.63785E-06,1.990285934,0
1.64131E-06,1.990265934,0
1.64478E-06,1.990255934,0
1.64826E-06,1.990235934,0
1.65173E-06,1.990215934,0
1.6552E-06,1.990195934,0
1.65867E-06,1.990175934,0
1.66214E-06,1.990165934,0
1.66562E-06,1.990145934,0
1.66909E-06,1.990125934,0
1.67257E-06,1.990105934,0
1.67604E-06,1.990085934,0
1.67952E-06,1.990075934,0
1.68299E-06,1.990055934,0
1.68647E-06,1.990035934,0
1.68995E-06,1.990025934,00
